,Country Name,2015 % Total GDP,2016 % Total GDP,2017 % Total GDP,2018 % Total GDP,2019 % Total GDP,"2015 % Spending/Student, Primary","2016 % Spending/Student, Primary","2017 % Spending/Student, Primary","2018 % Spending/Student, Primary","2019 % Spending/Student, Primary","2015 % Spending/Student, Secondary","2016 % Spending/Student, Secondary","2017 % Spending/Student, Secondary","2018 % Spending/Student, Secondary","2019 % Spending/Student, Secondary","2015 % Spending/Student, Tertiary","2016 % Spending/Student, Tertiary","2017 % Spending/Student, Tertiary","2018 % Spending/Student, Tertiary","2019 % Spending/Student, Tertiary"
127,Mexico,5.2352399830000005,4.909490108,4.522819996,,,14.4207,13.78185,,,,15.20393,14.426379999999998,,,,36.45238,29.65754,,,
128,"Micronesia, Fed. Sts.",12.40791988,,,,,,,,,,,,,,,,,,,
129,Moldova,,5.608449936,5.618440151000001,5.4397301670000004,,34.82502,32.545190000000005,32.53601,32.53494,,32.85989,30.512109999999996,30.9975,31.08682,,,31.4807,30.62616,26.64596,
130,Monaco,,1.370929956,1.457929969,,,,3.3130699999999997,,,,,4.9479,,,,,,,,
131,Mongolia,4.176990032,5.18061018,4.088590145,,,13.1827,16.58952,14.10634,,,,,,,,7.9848,10.67267,5.1885900000000005,,
132,Montenegro,,,,,,,,,,,,,,,,,,,,
133,Morocco,,,,,,,,,,,,,,,,,,,,
134,Mozambique,,5.865039825,5.505559921000001,5.499849796,,,,,,,,,,,,,,,,
135,Myanmar,,,2.087680101,1.9228899480000001,1.93208003,,,7.666810000000001,7.81464,,,,11.39294,10.30288,,,,,16.6916,
136,Namibia,,,,,,,,,,,,,,,,,,,,
137,Nauru,,,,,,,,,,,,,,,,,,,,
138,Nepal,3.7035899160000003,4.4409899710000005,5.518370152,5.102069855,,12.35956,,,,,10.45324,,,,,24.162689999999998,,,,
139,Netherlands,5.34815979,5.479599952999999,5.17509985,,,16.845579999999998,16.66924,,,,22.73967,23.12418,,,,33.0426,35.77867,,,
140,New Caledonia,,,,,,,,,,,,,,,,,,,,
141,New Zealand,6.337389946,6.433350086,6.283669949,,,18.34146,20.32099,,,,20.84411,21.11448,,,,26.93331,25.25573,,,
142,Nicaragua,4.078430176,4.081150055,4.357679844,,,,,,,,,,,,,,,,,
143,Niger,4.494679928,2.990449905,2.581650019,3.547209978,,22.53418,16.47221,13.302229999999998,,,65.02605,20.61046,17.13543,,,312.53591,314.50436,275.24802,,
144,Nigeria,,,,,,,,,,,,,,,,,,,,
145,North Macedonia,,,,,,,,,,,,,,,,,,,,
146,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,
147,Norway,7.569330215,8.030550003,7.911980152000001,,,21.501070000000002,21.70425,,,,26.35316,26.78578,,,,37.31122,39.82164,,,
148,Oman,,,,,,,31.77481,,,,,34.97368,36.025220000000004,,,,43.55851,,,
149,Pakistan,2.650019884,3.002919912,2.89951992,,,8.097560000000001,,,,,16.022479999999998,,,,,63.019780000000004,69.92226,67.23956,,
150,Palau,,,,,,,,,,,,,,,,,,,,
151,Panama,,,,,,,,,,,,,,,,,,,,
152,Papua New Guinea,,,1.9649300580000002,1.9308899640000001,,,,,,,,,,,,,,,,
153,Paraguay,,3.438339949,,,,,11.67423,,,,,11.92418,,,,,,,,
154,Peru,3.969330072,3.8131699560000003,3.931309938,3.723160028,3.8472900389999998,12.56451,11.48576,11.69517,11.22288,,13.8863,13.932889999999999,15.06599,14.64931,,,10.37422,10.88362,,
155,Philippines,,,,,,,,,,,,,,,,,,,,
156,Poland,4.812260151,4.639220238,4.5595698360000005,,,23.84992,23.082629999999998,,,,22.34623,22.561020000000003,,,,28.11992,25.41068,,,
157,Portugal,4.885540009,,5.015610218,,,22.50957,,,,,27.69333,,,,,26.906509999999997,,,,
158,Puerto Rico,,,,,,,,,,,,,,,,,,,,
159,Qatar,,,2.86383009,,2.695349932,,,,,,,,,,,,,,,
160,Romania,3.106760025,2.974109888,3.095390081,,,8.65312,7.82649,,,,16.194129999999998,15.1606,,,,24.0546,26.09842,,,
161,Russian Federation,3.834029913,3.7604401110000003,4.689909935,,,,,,,,,,,,,18.77948,19.82112,,,
162,Rwanda,3.632339954,3.4193000789999997,3.110830069,3.0737500189999998,,5.54209,5.47035,,4.25557,,31.211909999999996,37.14513,,21.67381,,107.95651000000001,,,97.65850999999999,
163,Samoa,,4.162220001000001,,,,,8.965860000000001,,,,,13.02062,,,,,,,,
164,San Marino,,,3.370330095,3.5928599830000003,,,,,,,,,,,,,,,,
165,Sao Tome and Principe,3.8645000460000003,5.173069954,5.084159851,5.149069786,,,,,,,,,,,,,,,,
166,Saudi Arabia,,,,,,,,,,,,,,,,,,,,
167,Senegal,5.45637989,5.113090038,4.6249699589999995,4.8332800869999994,,13.742339999999999,11.80185,,10.90433,,20.54068,11.42773,,11.4156,,176.3571,143.13554,,131.01343,
168,Serbia,3.7890200610000004,3.640269995,3.7150900360000003,3.5853900910000003,,43.65488,,,,,11.117180000000001,,,,,33.58741,29.57195,29.78442,,
169,Seychelles,,4.421020031,,,,,14.19805,,,,,15.299760000000001,,,,,70.70674,,,
170,Sierra Leone,,3.060230017,4.6357698439999995,6.989630222000001,7.702280045,,5.66124,4.75965,12.36935,,,5.512169999999999,14.26684,,,,,,,
171,Singapore,,,,,,,,17.51811,,,,,21.637710000000002,,,,,23.54145,,
172,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,
173,Slovak Republic,4.599540234,3.9117100239999996,3.9391300680000003,,,21.6772,20.8158,,,,21.11401,20.08462,,,,42.08415,27.600070000000002,,,
174,Slovenia,4.909530163,4.801780224,4.783239841,,,24.55179,23.5703,,,,23.9989,23.0407,,,,23.84036,24.3256,,,
175,Solomon Islands,,,,,,,,,,,,,,,,,,,,
176,Somalia,,,,,,,,,,,,,,,,,,,,
177,South Africa,5.956190109,5.9428501129999995,6.113059998,6.158989906,6.505050182000001,,,17.6493,17.941110000000002,,19.084020000000002,,19.5657,21.375,,40.02283,,46.83211,47.9767,
178,South Sudan,1.4655599590000001,1.543900013,,,,,4.57838,,,,,11.94795,,,,,,,,
179,Spain,4.286570072,4.227640152,4.20773983,,,17.275879999999997,17.11832,,,,18.49989,18.881629999999998,,,,22.91741,21.81691,,,
180,Sri Lanka,2.22874999,3.449199915,2.7992498869999998,2.124209881,,7.43956,14.4145,11.39277,7.918810000000001,,,14.077179999999998,11.52081,7.6737,,29.412,30.521659999999997,26.60908,31.558059999999998,
181,St. Kitts and Nevis,2.643460035,,,,,5.22032,,,,,12.43709,17.55246,,,,5.84161,,,,
182,St. Lucia,3.8677299019999998,5.2082800869999994,,3.331799984,,15.94346,16.48968,15.91189,14.70984,,26.017689999999998,24.94055,,22.741120000000002,,,,,0.0,
183,St. Martin (French part),,,,,,,,,,,,,,,,,,,,
184,St. Vincent and the Grenadines,,5.733399867999999,5.73195982,5.693779945,,16.7271,17.948520000000002,17.84389,17.50517,,21.10035,20.37058,19.96642,20.13922,,,,,,
185,Sudan,,,,,,,,,,,,,,,,,,,,
186,Suriname,,,,,,,,,,,,,,,,,,,,
187,Sweden,7.443900107999999,7.6186199189999995,7.5688300129999995,,,21.335739999999998,21.74093,,,,23.587429999999998,23.75742,,,,43.11866,43.24651,,,
188,Switzerland,5.100570202,5.104730129,5.130189896,,,24.567970000000003,24.78876,,,,24.45516,,,,,37.67913,37.4052,,,
189,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,
190,Tajikistan,5.231389999,,,,,,,,,,,,,,,19.569570000000002,,,,
191,Tanzania,,,4.430510044,3.696439981,,,,,,,,,,,,,,,,
192,Thailand,,,,,,,,,,,,,,,,,,,,
193,Timor-Leste,8.433259964,8.051939963999999,7.060490131,6.792950153,,,,,,,,,,,,,,,,
194,Togo,5.10860014,4.955580235,4.989759922,5.369569778,,16.09805,16.16121,,,,,,,,,91.09806999999999,81.64483,77.17135,,
195,Tonga,,,,,,,,,,,,,,,,,,,,
196,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,
197,Tunisia,6.596010207999999,,,,,,,,,,52.39924,,,,,54.742509999999996,,,,
198,Turkey,,,,,,14.387429999999998,12.99947,,,,11.56828,13.5129,,,,32.269,35.28416,,,
199,Turkmenistan,,,,,,,,,,,,,,,,,,,,
200,Turks and Caicos Islands,3.157449961,,,2.9143500330000003,,15.64521,,,5.7043,,23.00828,,,18.42415,,87.56158,,,,
201,Tuvalu,,,,,,,,,,,,,,,,,,,,
202,Uganda,2.340490103,2.1553599830000003,2.272049904,2.130520105,,,,,,,,,,,,,,,,
203,Ukraine,,5.00977993,5.412260056,,,,26.253120000000003,30.315659999999998,,,,25.63448,30.264979999999998,,,,38.53561,34.46536,,
204,United Arab Emirates,,,,,,,,,,,,,,,,,,,,
205,United Kingdom,5.556159973,5.426700115,5.442090034,,,24.97949,24.17334,,,,23.05669,21.18688,,,,35.35066,37.99046,,,
206,United States,,,,,,19.76064,19.85908,,,,21.68055,22.1348,,,,21.520570000000003,19.42953,,,
207,Uruguay,,4.75909996,4.840300083,5.047589779,,,12.390830000000001,12.64033,,,,15.931410000000001,16.15909,,,,25.19618,25.38864,,
208,Uzbekistan,5.786379814,5.667729855,5.281340122,,,,,,,,,,,,,,,,,
209,Vanuatu,5.390810012999999,,4.533530235,,,13.5286,,,,,21.02094,,,,,,,,,
210,"Venezuela, RB",,,,,,17.91013,,,,,14.790920000000002,,,,,,,,,
211,Vietnam,,4.344810009,,4.167449951,,,,,,,,,,,,,,,,
212,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,
213,West Bank and Gaza,5.1413598060000005,5.717730045,5.25233984,,,,,,,,,,,,,,,,,
214,"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,
215,Zambia,4.62432003,3.7479200360000005,3.7296500210000003,4.618090153,,14.320720000000001,12.91385,12.88822,,,,,,,,,,,,
216,Zimbabwe,,,5.818779945,5.871349812,,,,,,,,,,,,,,,,
217,Arab World,,,,,,,,,,,,,,,,,,,,
218,Caribbean small states,5.455770016000001,5.315080166,5.260620117,5.41478014,5.16918993,22.17824,21.77293,23.44592,21.684639999999998,,28.750040000000002,27.60237,27.156909999999996,29.727320000000002,,36.59035,,,,
219,Central Europe and the Baltics,4.812260151,4.655389786000001,4.09250021,,,19.99539,20.29085,,,,22.253239999999998,22.30415,,,,24.80784,25.40887,,,
220,Early-demographic dividend,,,,,,,,,,,,,,,,,,,,
221,East Asia & Pacific,,,,,,,,,,,,,,,,,,,,
222,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,
223,East Asia & Pacific (IDA & IBRD countries),,,,3.165154934,,,,,,,,,,,,,,,,
224,Euro area,4.909530163,4.821000099,4.939249992,,,21.6772,20.279965,,,,23.262014999999998,23.031085,,,,29.2699,27.600070000000002,,,
225,Europe & Central Asia,4.885540009,4.821000099,4.783239841,,,21.589135,20.553325,,,,23.00137,23.02147,,,,27.141790000000004,25.75455,,,
226,Europe & Central Asia (excluding high income),3.811524987,3.8612650630000003,4.09250021,,,,,,,,,,,,,,19.82112,15.854014999999999,,
227,Europe & Central Asia (IDA & IBRD countries),3.811524987,3.8612650630000003,4.004815102,,,,,,,,,,,,,18.77948,23.311989999999998,,,
228,European Union,4.897535086,4.801780224,4.725169897,,,20.768525,20.26908,,,,23.00137,23.02147,,,,27.748495000000002,26.307934999999997,,,
229,Fragile and conflict affected situations,,,3.787309885,,,,,,,,,,,,,,,,,
230,Heavily indebted poor countries (HIPC),3.7357950210000004,3.096090078,3.787309885,3.547209978,,,,,,,,,,,,,,,,
231,High income,5.005050182,5.013599873,4.939249992,,,19.878014999999998,20.29085,,,,22.82228,22.760205,,,,26.919909999999998,25.40887,,,
232,IBRD only,,4.411010027,4.307660103,,,,,,,,,,,,,,,,,
233,IDA & IBRD total,4.127710104,3.962090015,4.088590145,,,,,,,,,,,,,,,,,
234,IDA blend,4.916404963,5.362669945,5.324010134,4.4086500410000005,,,,,,,,,,,,,,,,
235,IDA only,3.752544999,3.257695079,3.80347991,3.696439981,,,,,,,,,,,,,,,,
236,IDA total,3.939965129,3.4193000789999997,4.031330109,3.696439981,,,,,,,,,,,,,,,,
237,Late-demographic dividend,4.705900192,4.639220238,4.535510063,,,20.025175,,,,,,,,,,25.715835000000002,23.311989999999998,,,
238,Latin America & Caribbean,4.937005043,4.618155003,4.535510063,,,15.187479999999999,15.2222,,,,15.20393,15.0163,,,,,,,,
239,Latin America & Caribbean (excluding high income),4.998700142,4.27918005,4.522819996,,,15.283135000000001,15.2222,,,,14.997425,14.91552,,,,34.05957,,,,
240,Latin America & the Caribbean (IDA & IBRD countries),4.937005043,4.618155003,4.535510063,,,15.187479999999999,15.2222,,,,15.20393,15.0163,,,,33.04323,,,,
241,Least developed countries: UN classification,3.67008996,3.060230017,3.909319997,3.696439981,,,,,,,,,,,,,,,,
242,Low & middle income,4.078430176,3.825239897,4.073729992,,,,,,,,,,,,,,,,,
243,Low income,3.632339954,3.0253399610000002,3.4490699769999997,,,,,,,,,,,,,,,,,
244,Lower middle income,,4.39289999,4.430510044,3.989439964,,,,,,,,,,,,,,,,
245,Middle East & North Africa,,,,,,,,,,,,,,,,,,,,
246,Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,
247,Middle East & North Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
248,Middle income,,4.081150055,4.394094944,,,,,,,,,,,,,,,,,
249,North America,,,,,,18.664005,19.85908,,,,21.68055,22.1348,,,,29.227265000000003,25.434804999999997,,,
250,Not classified,,,,,,,,,,,,,,,,,,,,
251,OECD members,5.106850147,5.007110119,4.994495153,,,19.878014999999998,20.279965,,,,22.54295,22.30415,,,,27.37707,25.409775,,,
252,Other small states,,,5.02312994,,,,,,,,,,,,,,,,,
253,Pacific island small states,,,,,,,,,,,,,,,,,,,,
254,Post-demographic dividend,5.205920218999999,5.05725503,5.0699300769999995,,,19.76064,20.295035000000002,,,,23.05669,23.048605,,,,26.906509999999997,25.3323,,,
255,Pre-demographic dividend,3.67008996,3.078160048,4.031330109,3.696439981,,,,,,,,,,,,,,,,
256,Small states,,,5.1418750289999995,,,,,,,,,,,,,,,,,
257,South Asia,2.952909946,3.449199915,3.47919488,,,9.17222,,,,,10.45324,11.98575,,,,29.412,30.521659999999997,,,
258,South Asia (IDA & IBRD),2.952909946,3.449199915,3.47919488,,,9.17222,,,,,10.45324,11.98575,,,,29.412,30.521659999999997,,,
259,Sub-Saharan Africa,4.148090005,3.257695079,4.031330109,4.303765059,,,,,,,,,,,,,,,,
260,Sub-Saharan Africa (excluding high income),3.801500082,3.096090078,3.917405009,3.989439964,,,,,,,,,,,,,,,,
261,Sub-Saharan Africa (IDA & IBRD countries),4.148090005,3.257695079,4.031330109,4.303765059,,,,,,,,,,,,,,,,
262,Upper middle income,,3.8131699560000003,4.09250021,,,,,,,,,,,,,,,,,
263,World,4.62432003,4.459100008,4.52916503,,,,,,,,,,,,,,,,,
